y_lat,x_lon,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,crime_count_5mi,crime_score_5mi_weighted
40.03758934,-75.21159351,5020783,Dupont Towers,6100 Henry Avenue,,1,1969,Multifamily Housing,,3131627.8,4670146.8,,,18.0,84.7,86.1,150.1,522.9,3697.6,64.0,No,Required Compliance,Complied,2024,31,10.6
40.00205703,-75.16067033,5945319,Allegheny Apts Phase 1 & 2,1900 W Allegheny Ave,,1,2016,Multifamily Housing,,3820988.8,1886655.9,,,36.0,55.7,56.1,124.2,404.6,4004.3,31.0,No,Required Compliance,Complied,2024,162,82.7
40.04548455,-75.19113035,5021288,The McCallum,6635 McCallum Street,,1,1926,Multifamily Housing,,3267017.3,1314100.8,,,20.0,64.6,64.5,148.3,356.5,2823.1,62.0,No,Required Compliance,Complied,2024,48,18.6
40.02182743,-75.15795783,7379746,Nicetown Court II,4413 Germantown Avenue,19140,1,2013,Multifamily Housing,,3256643.2,3527358.2,,,2.0,104.0,106.0,198.7,473.2,1009.3,100.0,No,Required Compliance,Complied,2024,127,65.60000000000001
39.95741255,-75.20071482,33560000,UNIVERSITY SQUARE APARTMENTS,3901 MARKET ST,,1,1977,Multifamily Housing,,14252695.5,12507350.2,,,60.0,54.1,57.4,113.7,1799.6,14484.4,43.0,No,Required Compliance,Complied,2024,197,82.7
39.93243134,-75.2230699,10823319,U-Haul Moving & Storage Of Kingsessing (808073),5744 Woodland Ave,,1,2010,Self-Storage Facility,,1033968.4,1364071.5,,,,30.1,32.7,57.2,154.8,628.2,,No,Required Compliance,Complied,2024,110,51.9
39.91200534,-75.14405041,6344699,U-Haul Moving & Storage of Riverview (808071),8 E Oregon Ave,,1,1920,Self-Storage Facility,,1619870.8,3364686.6,,,,16.8,18.7,29.2,307.7,0.0,,No,Required Compliance,Complied,2024,47,16.9
39.95578406,-75.19463386,3325356,3600 Market Street,3600 Market Street,19104,1,1989,Office,"19,444",10550590.0,702631.3,,,53.0,64.9,65.3,175.1,877.7,2321.5,,No,Voluntary Compliance,Voluntarily Complied,2024,162,63.7
39.95596326,-75.19538382,3326513,3624 Market St,3624 Market St.,19104,1,1975,Office,"16,646",10722282.5,108888.4,,,71.0,48.9,48.9,136.1,859.8,1177.4,,No,Voluntary Compliance,Voluntarily Complied,2024,165,64.8
39.95391885,-75.18263265,36229178,Cira Square Parent,2970 Market St,19104,2,1934,Office,"1,076,400",41328516.4,11088892.8,,,94.0,56.2,58.2,138.7,0.0,8907.3,,12/19/2024,Required Compliance,Complied,2024,248,87.6
39.95156139,-75.16715108,30887685,Two Liberty Place (BP),50 South 16th Street,,1,1990,Office,,44011402.20000001,281739.6,,22673006.1,76.0,53.3,56.2,123.7,5026.0,11626.2,,07/28/2025,Required Compliance,Complied,2024,482,173.4
39.9496291,-75.16324431,3575688,123 South Broad,123 S. Broad St.,19109,1,1928,Office,"310,659",29419045.5,35689475.6,,,55.0,78.9,85.1,151.6,4477.6,11510.1,,No,Required Compliance,Complied,2024,432,160.1
39.95696331,-75.19701944,3479994,3711 Market St.,3711 Market St,19104,1,2008,Office,"71,506",26158799.2,5247627.0,,,,184.7,187.0,465.6,2362.3,5511.3,,No,Required Compliance,Complied,2024,178,71.3
39.94963908,-75.15166244,3774260,One Independence Mall,615 Chestnut Street,,1,1981,Office,,15416543.1,2414356.8,,,90.0,40.0,41.3,104.1,1356.2,4760.7,,11/19/2024,Required Compliance,Complied,2024,266,99.1
39.95139202,-75.15917687,6723376,East Market - The Ludlow [1102 Market],1100 Market Street,19107,1,2017,Multifamily Housing,,12724278.2,7125210.5,,,55.0,53.8,55.6,119.0,1392.0,10510.7,51.0,No,Required Compliance,Complied,2024,396,146.6
39.95052751,-75.16358514,6305832,z435110 - The Griffin,1338 Chestnut St,19107,0,2016,Multifamily Housing,,7367490.3,1018575.9,,,77.0,35.2,36.3,92.5,640.9,4919.7,82.0,No,Required Compliance,Complied,2024,429,158.5
40.07729293,-75.0258677,48264992,"2500 Grant Ave, PA",2500 Grant Ave,,1,1980,Retail Store,,3865714.3,4213176.0,,,,39.8,39.8,75.0,563.1,2469.2,,No,Required Compliance,Complied,2024,36,13.7
39.951765,-75.15408078,4811057,801 Market Street,801 Market Street,19107,1,1928,Office,"222,844",40358800.5,,,7199204.0,81.0,50.8,51.9,131.1,3692.6,4684.1,,08/07/2017,Required Compliance,Complied,2024,335,126.4
40.07481157,-75.03828572,4970926,St Regis Apartments,2201 Tremont Street,,2,1968,Multifamily Housing,,5424617.0,11703277.4,,,87.0,53.1,54.5,87.6,1097.7,12972.7,36.0,No,Required Compliance,Complied,2024,41,16.2
39.97947213,-75.2449927,5002133,Monte Vista,6150 W. Oxford Street,,1,1900,Multifamily Housing,,5010023.0,2121899.8,,,17.0,104.3,107.1,240.7,511.8,9248.9,21.0,No,Required Compliance,Complied,2024,82,38.5
40.12155718,-75.01521264,5013883,Ephraim Goldstein Apartments aka Shalom/Arbor,12003 Bustleton Avenue,19116,1,1980,Multifamily Housing,"81,799",8308567.7,3078145.6,,,50.0,54.4,56.5,132.0,892.7,10419.5,34.0,No,Required Compliance,Complied,2024,8,3.7
40.00799165,-75.20573218,6382030,PC - 4 Towers,3900 City Avenue,,4,1956,Multifamily Housing,,26863879.6,17846864.2,,,87.0,42.3,43.9,92.0,3305.6,34031.9,64.0,No,Required Compliance,Complied,2024,33,12.5
39.95351736,-75.1886585,4959919,381 - Chestnut Square,3200 Chestnut Square,19104,2,2013,Multifamily Housing,,13925554.5,6039771.4,,,82.0,54.2,54.7,123.6,1430.0,19235.2,64.0,No,Required Compliance,Complied,2024,139,51.9
40.00549629,-75.20922664,12491000,Lincoln Green 2018 LLC,4000 Presidential Blvd,19131,31,1989,Multifamily Housing,"760,200",17186510.6,,,,68.0,37.3,39.8,111.3,1508.4,19548.1,65.0,No,Required Compliance,Complied,2024,32,12.0
40.02119582,-75.08359429,6877125,Oxford Portfolio LLC,4925 Saul Street,,3,1920,Multifamily Housing,,639088.1,2129668.2,,,100.0,39.1,40.7,58.6,169.2,10645.2,2.0,No,Required Compliance,Complied,2024,181,80.1
40.04018238,-75.22394626,36233050,6649 Ridge Avenue,6649 Ridge Avenue,,3,2021,Multifamily Housing,,3543102.6,,,,98.0,24.6,25.3,70.9,282.2,,,06/10/2025,Required Compliance,Complied,2024,40,13.8
39.95359959,-75.20772403,58337492,Fairfax,4247 Locust St,,1,1927,Multifamily Housing,,3410293.6,10426828.1,,,84.0,63.4,67.9,98.6,825.5,686.7,100.0,No,Required Compliance,Complied,2024,144,60.6
39.96685684,-75.15742256,11620054,1221 Fairmount Avenue,1221 Fairmount Avenue,,1,1979,Multifamily Housing,,3179144.7,4824867.5,,,60.0,67.2,69.9,120.1,535.3,283.1,100.0,No,Required Compliance,Complied,2024,176,76.60000000000001
