objectid, x                 , y                 , y_lat      , x_lon       , id    , portfolio_manager_id, property_name                                                        , street_address                          , postal_code, num_of_buildings, year_built, primary_prop_type_epa_calc, total_floor_area_bld_pk_ft2, electric_use_kbtu , natural_gas_use_kbtu, fuel_oil_02_use_kbtu, steam_use_kbtu, energy_star_score, site_eui_kbtuft2, source_eui_kbtuft2, weather_norm_site_eui_kbtuft2, weather_norm_source_eui_kbtuf, total_ghg_emissions_mtco2e, water_use_all_kgal, water_score          , estar_certified, compliance_type     , benchmarking_status , data_year, philadelphia_building_id                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , longitude        , latitude        , calculated_total_energy, estimated_sqft         , ghg_per_sqft          , water_per_sqft        , eui    , eui_score            , ghg_score            , composite_score     , Grade
       1, 2679169.20883697  , 266765.0333229    , 40.03758934, -75.21159351, 148439,              5020783, Dupont Towers                                                        , 6100 Henry Avenue                       ,            ,                1,       1969, Multifamily Housing       ,          92110.6800472255  ,   3131627.8       ,     4670146.8       ,                  0.0,            0.0,              18.0,             84.7,              148.4,                          86.1,                         150.1,                     522.9 ,            3697.6 , 0.4470338983050848   , No             , Required Compliance , Complied            ,      2024, 888210002;888210003;888210004;888210005;888210006;888210007;888210008;888210009;888210010;888210011;888210012;888210013;888210014;888210015;888210016;888210017;888210018;888210019;888210020;888210021;888210022;888210023;888210024;888210025;888210026;888210027;888210028;888210029;888210030;888210031;888210032;888210033;888210034;888210035;888210036;888210037;888210038;888210039;888210040;888210041;888210042;888210043;888210044;888210045;888210046;888210047;888210048;888210049;888210050;888210051;888210052;888210053;888210054;888210055;888210056;888210057;888210058;888210059;888210060;888210061;888210062;888210063;888210064;888210065;888210066;888210067;888210068;888210069;888210070;888210071;888210072;888210073;888210074;888210075;888210076;888210077;888210078;888210079;888210080;888210081;888210082;888210083;888210084;888210085;888210086;888210087;888210088;888210089;888210090;888210091;888210092;888210093;888210094;888210095;888210096;888210097;888210098;888210099;888210100;888210101;888210102;888210103;888210104;888210105, -75.2115952975412, 40.0375974178631,     7801774.6          ,     92110.6800472255   , 0.005676866132482218  , 0.04014301054019172   ,    84.7, 0.09957627118644063  , 0.22457627118644063  , 0.20656779661016944 , C
       2, 2693801.41972998  , 254240.68894906   , 40.00205703, -75.16067033, 140320,              5945319, Allegheny Apts Phase 1 & 2                                           , 1900 W Allegheny Ave                    ,            ,                1,       2016, Multifamily Housing       ,         102471.17953321362 ,   3820988.8       ,     1886655.9       ,                  0.0,            0.0,              36.0,             55.7,              123.7,                          56.1,                         124.2,                     404.6 ,            4004.3 , 0.4555084745762712   , No             , Required Compliance , Complied            ,      2024, 886653901; 886653905                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , -75.1606721026356, 40.0020651013913,     5707644.699999999  ,    102471.17953321362  , 0.00394842727333746   , 0.03907732904257338   ,    55.7, 0.3569915254237288   , 0.44279661016949157  , 0.40243644067796613 , C
       3, 2684813.28777188  , 269805.25493273   , 40.04548455, -75.19113035, 148386,              5021288, The McCallum                                                         , 6635 McCallum Street                    ,            ,                1,       1926, Multifamily Housing       ,          70915.14086687306 ,   3267017.3       ,     1314100.8       ,                  0.0,            0.0,              20.0,             64.6,              148.4,                          64.5,                         148.3,                     356.5 ,            2823.1 , 0.4491525423728814   , No             , Required Compliance , Complied            ,      2024, 888220261;888220262;888220263;888220331;888220281;888220299;888220308;888220290;888220340;888220264;888220267;888220332;888220282;888220300;888220317;888220265;888220313;888220295;888220345;888220266;888220268;888220333;888220283;888220301;888220318;888220312;888220294;888220344;888220269;888220334;888220284;888220302;888220319;888220322;888220314;888220296;888220346;888220278;888220270;888220335;888220285;888220303;888220320;888220323;888220315;888220297;888220347;888220279;888220271;888220336;888220286;888220304;888220321;888220324;888220316;888220298;888220348;888220280;888220272;888220337;888220287;888220305;888220309;888220291;888220341;888220275;888220325;888220328;888220273;888220338;888220288;888220306;888220310;888220292;888220342;888220276;888220326;888220329;888220274;888220339;888220289;888220307;888220311;888220293;888220343;888220277;888220327;888220330                                                                                                                                                                , -75.1911321390146, 40.0454926282466,     4581118.1          ,     70915.14086687306  , 0.005027135187804917  , 0.039809552170244206  ,    64.6, 0.26483050847457623  , 0.27542372881355937  , 0.3048728813559322  , C
       4, 2694349.64599572  , 261461.89333865   , 40.02182743, -75.15795783, 166294,              7379746, Nicetown Court II                                                    , 4413 Germantown Avenue                  , 19140      ,                1,       2013, Multifamily Housing       ,          65230.782692307694,   3256643.2       ,     3527358.2       ,                  0.0,            0.0,               2.0,            104.0,              196.6,                         106.0,                         198.7,                     473.2 ,            1009.3 , 0.896186440677966    , No             , Required Compliance , Complied            ,      2024, 886620100;886620201;886620301                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , -75.1579596069329, 40.021835509583 ,     6784001.4          ,     65230.782692307694 , 0.007254243785975633  , 0.015472756240881671  ,   104.0, 0.05720338983050843  , 0.1652542372881356   , 0.2574152542372881  , C
       5, 2683057.03669122  , 237657.9261829    , 39.95741255, -75.20071482, 253006,             33560000, UNIVERSITY SQUARE APARTMENTS                                         , 3901 MARKET ST                          ,            ,                1,       1977, Multifamily Housing       ,         494640.40110905725 ,  14252695.5       ,    12507350.2       ,                  0.0,            0.0,              60.0,             54.1,              107.3,                          57.4,                         113.7,                    1799.6 ,           14484.4 , 0.6355932203389831   , No             , Required Compliance , Complied            ,      2024, 886506750 882929047 886506755                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , -75.2007166022771, 39.9574206111561,    26760045.7          ,    494640.40110905725  , 0.0036381985700420535 , 0.0292826869126012    ,    54.1, 0.40042372881355937  , 0.527542372881356    , 0.4855932203389831  , C
       6, 2677053.04902731  , 228381.35812189   , 39.93243134, -75.2230699 , 166650,             10823319, U-Haul Moving & Storage Of Kingsessing (808073)                      , 5744 Woodland Ave                       ,            ,                1,       2010, Self-Storage Facility     ,          79669.09966777408 ,   1033968.4       ,     1364071.5       ,                  0.0,            0.0,                  ,             30.1,               54.2,                          32.7,                          57.2,                     154.8 ,             628.2 , 0.09999999999999998  , No             , Required Compliance , Complied            ,      2024, 884218809; 884346903                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , -75.2230716872113, 39.9324393999662,     2398039.9          ,     79669.09966777408  , 0.0019430368944236504 , 0.007885114838998302  ,    30.1, 0.15000000000000002  , 0.18333333333333335  , 0.15                , D
       7, 2699423.37567763  , 221587.68699798   , 39.91200534, -75.14405041, 154066,              6344699, U-Haul Moving & Storage of Riverview (808071)                        , 8 E Oregon Ave                          ,            ,                1,       1920, Self-Storage Facility     ,         296699.84523809527 ,   1619870.8       ,     3364686.6       ,                  0.0,            0.0,                  ,             16.8,               27.1,                          18.7,                          29.2,                     307.7 ,               0.0 , 0.9583333333333334   , No             , Required Compliance , Complied            ,      2024, 884140525; 884140530                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , -75.1440521675221, 39.9120133968235,     4984557.4          ,    296699.84523809527  , 0.0010370750269622735 , 0.0                   ,    16.8, 0.31666666666666665  , 0.3666666666666667   , 0.45999999999999996 , C
      11, 2684778.1989313103, 237114.2067979    , 39.95578406, -75.19463386, 246485,              3325356, 3600 Market Street                                                   , 3600 Market Street                      , 19104      ,                1,       1989, Office                    ,         173393.2403697997  ,  10550590.0       ,      702631.3       ,                  0.0,            0.0,              53.0,             64.9,              174.7,                          65.3,                         175.1,                     877.7 ,            2321.5 , 0.3597122302158273   , No             , Voluntary Compliance, Voluntarily Complied,      2024, 883076615; 883076635; 883076640; 883076675; 883076680; 883076685; 883076690; 883076695; 883076700; 883076620; 883076625; 883076630; 883076600; 883076645; 883076650; 883076605; 883076610                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , -75.1946356430149, 39.955792121758 ,    11253221.3          ,    173393.2403697997   , 0.005061904363331058  , 0.013388641881591718  ,    64.9, 0.4244604316546763   , 0.41726618705035967  , 0.4093525179856115  , C
      12, 2684566.15276746  , 237173.37793939   , 39.95596326, -75.19538382, 246488,              3326513, 3624 Market St                                                       , 3624 Market St.                         , 19104      ,                1,       1975, Office                    ,         221496.33742331289 ,  10722282.5       ,      108888.4       ,                  0.0,            0.0,              71.0,             48.9,              136.1,                          48.9,                         136.1,                     859.8 ,            1177.4 , 0.7841726618705036   , No             , Voluntary Compliance, Voluntarily Complied,      2024, 883077615; 883077625; 883077635; 883077645; 883077610; 883077620; 883077630; 883077640; 883077650; 833077660; 883077680; 883077690; 883077670                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , -75.1953856040992, 39.9559713245562,    10831170.9          ,    221496.33742331289  , 0.003881779762149261  , 0.005315663517044127  ,    48.9, 0.6942446043165468   , 0.6690647482014389   , 0.7046762589928057  , B
      13, 2688160.98580089  , 236532.60067764   , 39.95391885, -75.18263265, 244337,             36229178, Cira Square Parent                                                   , 2970 Market St                          , 19104      ,                2,       1934, Office                    ,         932694.1138790036  ,  41328516.4       ,    11088892.8       ,                  0.0,            0.0,              94.0,             56.2,              136.6,                          58.2,                         138.7,                       0.0 ,            8907.3 , 0.5323741007194245   , 12/19/2024     , Required Compliance , Complied            ,      2024, "883063100, 883450000"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , -75.1826344281005, 39.953926914662 ,    52417409.2          ,    932694.1138790036   , 0.0                   , 0.00955007635135084   ,    56.2, 0.5575539568345323   , 0.9928057553956835   , 0.6830935251798561  , B
